Symbol,Price,Industry Group Rank,Price % Change,Vol. % Change,IBD Comp. Rating,RS Rating,Acc/Dis Rating,EPS Rating,SMR Rating,Ind Grp RS,PE Ratio,Vol. 50 Day Avg. (1000s)
BBAX,63.99,,-0.31,-45,,60,C,,,,,243
BBB,30.16,,-0.36,-86,,28,B+,,,,,2
BBBI,50.63,,-0.2,176,,16,E,,,,,19
BBBL,45.85,,-0.58,-70,,10,E,,,,,2
BBBS,50.78,,-0.06,-49,,24,D,,,,,22
BBC,52.87,,0.98,-58,,99,D,,,,,23
BBCA,107.33,,0.23,-42,,92,B,,,,,234
BBCB,44.35,,-0.31,-21,,13,E,,,,,7
BBCQ,10.16,,-0.1,-40,,,E,,,,72,264
BBEM,76.59,,,-99,,69,C-,,,,,35
BBEU,80.57,,-0.06,-56,,73,B-,,,,,267
BBH,218.04,,-0.73,-32,,94,A,,,,,5
BBHL,17.58,,-0.62,-86,,66,D,,,,,49
BBHM,12.46,,-0.32,-47,,65,C,,,,,136
BBHY,45.84,,-0.07,-49,,25,C-,,,,,62
BBIB,96.84,,-0.17,-89,,19,E,,,,,2
BBIN,81.48,,-0.12,-11,,71,D-,,,,,143
BBJP,79.19,,-0.3,-64,,79,C+,,,,,1572
BBLB,77.49,,-0.63,-35,,10,B+,,,,,1
BBLU,17.42,,-0.29,-52,,84,A,,,,,69
BBMC,130.02,,0.32,-22,,92,D+,,,,,11
BBN,15.85,,-0.2,-20,,16,A-,,,,35,132
BBP,101.31,,0.22,28,,98,D-,,,,,9
BBRE,108.68,,0.08,73,,73,E,,,,,38
BBSB,98.2,,0.02,-65,,28,C,,,,,1
BBSC,93.36,,0.49,-82,,95,A+,,,,,10
BBUL,14.26,,-2.14,-79,,22,,,,,,
BBUS,140.11,,-0.21,-24,,80,A,,,,,192
BBYY,9.58,,0.39,-63,,3,D+,,,,,2
BCAR,5.83,,-3.8,-84,,,E,,,,59,519
BCAT,15.86,,-0.48,-34,,52,D,,,,63,729
BCCC,11.62,,-0.6,30,,3,D,,,,,13
BCCQ,9.88,,0.08,136,,,,,,,87,
BCD,37.06,,0.65,-65,,45,B+,,,,,51
BCDF,33.33,,0.25,154,,54,A,,,,,1
BCEM,26.64,,-0.29,-96,,33,C,,,,,9
BCFN,23.5,,-0.11,-59,,53,C,,,,,3
BCGD,27.08,,-0.26,-65,,54,C,,,,,2
BCGS,28.56,,,-100,,57,C-,,,,,1
BCHI,26.72,,-0.53,303,,5,E,,,,,8
BCHP,39,,-0.6,-19,,62,A,,,,,34
BCI,24.55,,0.74,-9,,51,A-,,,,,1780
BCIC,7.65,,1.06,-1,1,15,A+,34,C,,93,60
BCIL,30.53,,0.91,-66,,54,A,,,,,4
BCKT,40.32,,-0.03,561,,8,C,,,,,0
